Rang	Radical	Otherforms	Stroke	Tags	Meaning
1	一		1	important radical	one; a horizontal stroke
2	丨	｜	1	important radical	a vertical stroke
3	丶		1	important radical	a dot
4	丿	ノ	1	important radical	a stroke curved to the left
5	乙	乚, ⺄, 乛	1		a bend stroke; the second of celestial stems
6	亅		1		a hook
7	二		2		two; two horizontal strokes
8	亠		2	important radical	head, above, lid
9	人	亻, ⺅, 𠆢	2	important radical	man, a person
10	儿		2		legs; man, a person (at the bottom of a character)
11	入		2		entering, starting
12	八	ハ	2	important radical	eight; to part, to divide
13	冂		2		down box, wilderness
14	冖		2		cover
15	冫		2		two dots; ice, cold
16	几		2		small table
17	凵		2		container, wide opened mouth
18	刀	刂, ⺉, ⺈	2	important radical	knife, sword, cutting, separating
19	力		2	important radical	strength, force
20	勹		2		wrap, embrace
21	匕		2		spoon, ladle
22	匚		2		square box
23	亡	匸	3		round box
24	十		2	important radical	ten; two crossed strokes
25	卜	⼘, ⺊	2		divining
26	卩	㔾	2		seal, stamp
27	厂		2	important radical	cliff
28	厶		2		self, private
29	又		2		grasping, further, again
30	口	品	3	important radical	mouth, opening, sounding
31	囗		3	important radical	enclosure
32	土		3	important radical	earth, soil
33	士		3		official, scholar
34	夂		3		walking slowly
35	夊		3		overtaking
36	夕		3		evening
37	大		3		big, large
38	女		3	important radical	woman, female
39	子	孑	3		child, son, seed; the first of terrestrial branches
40	宀		3	important radical	roof, cover
41	寸		3		inch
42	小	⺌, ⺍	3	important radical	small
43	尢	尤, 尣	3		lame
44	尸		3	important radical	corpse, body
45	屮		3		sprout
46	山		3	important radical	mountain, cliff
47	巛	川, 巜	3		river, stream
48	工		3		work
49	已	己, 巳	3		self, own; the sixth of celestial stems
50	巾		3	important radical	towel, napkin, turban
51	干		3		dried
52	幺	乡	3		short, tiny
53	广		3	important radical	house built at a slope, dotted cliff
54	廴		3		walking a long distance
55	廾	廿	3		two hands (at bottom of character); twenty
56	弋		3		shoot; arrow
57	弓		3	important radical	bow
58	彐	ヨ, 彑	3		pig head
59	彡		3		hair, feather
60	彳		3	important radical	walking slowly
61	心	忄, ⺗	4	important radical	heart, feeling
62	戈		4		axe, halberd
63	戸	戶, 户	4		house, door
64	手	扌, 龵	4	important radical	hand, actions
65	支		4		branch
66	攵	攴	4	important radical	whip
67	文		4		word, literature
68	斗		4		a kind of volume measure
69	斤		4		a kind of weight measure; axe
70	方		4		square, direction, locality
71	无	旡, 無	4		do not, no
72	日		4	important radical	sun, clear
73	曰		4		speaking
74	月	⺝	4		moon, month
75	木		4	important radical	tree, wood
76	欠		4		yawn, lack
77	止		4		stopping
78	歹	歺	4		dead, decay
79	殳		4		halberd
80	毋	母, ⺟	4		mother
81	比		4		side by side, comparing
82	毛		4		hair, feather
83	氏		4		clan
84	气		4		air, breath
85	水	氵, 氺	4	important radical	water
86	火	灬	4	important radical	fire
87	爪	爫, ⺥, ⺤	4		claw, hand
88	父		4		father
89	爻		4		mix, twine, cross
90	爿	丬	4		half of a tree trunk, split wood
91	片		4		slice, piece
92	牙		5		fang
93	牛	牜, ⺧	4	important radical	cow, ox
94	犬	犭	4	important radical	dog, dog-like animals
95	玄		5		black, dark, profound
96	王	玉, 玊, ⺩	4	important radical	jade, stone, king, ball
97	瓜		6		pumpkin, melon
98	瓦		5		tile, earthenware
99	甘		5		sweet
100	生		5		giving birth, live
101	用	甩	5		using
102	田		5	important radical	field
103	疋	⺪	5		roll, bolt of cloth
104	疒		5	important radical	sickness
105	癶		5		footsteps
106	白		5		white
107	皮		5		leather, skin
108	皿		5	important radical	dish, plate
109	目		5	important radical	eye
110	矛		5		spear, pike
111	矢		5		arrow
112	石		5	important radical	stone, rock
113	示	礻	5	important radical	altar, display, spiritual, ancestor
114	禸		5		rump, track
115	禾		5	important radical	grain, ear
116	穴		5		hollow, hole, hidden
117	立		5	important radical	stand, erect
118	竹	⺮	6	important radical	bamboo
119	米		6	important radical	rice
