rang	prefixe	kanji	suffixe	onyomi	onyomi_example	onyomi_traduction	kunyomi	kunyomi_traduction	tags	type	JLPTN
1		一		イチ			ひと(つ)		Count 	num	5
2		二		ニ			ふた(つ)		Count 	num	5
3		三		サン			み(っつ)		Count 	num	5
4		四		シ			よ(っつ), よん		Count 	num	5
5		五		ゴ			いつ(つ)		Count 	num	5
6		六		ロク			む(っつ)、むい		Count 	num	5
7		七		シチ			なな(つ), なな		Count 	num	5
8		八		ハチ			や(っつ), よう		Count 	num	5
9		九		キュウ, ク			ここの(つ)		Count 	num	5
10		十		ジュウ			とう, とお		Count 	num	5
11		百		ヒャク					Count 	num	5
12		千		セン			ち		Count 	num	5
13		万		マン					Count 	num	5
14		億		オク					Count 	num	5
15		日		ニチ, ジツ			ひ, か		Temps		5
16		週		シュウ					Temps		5
17		月		ゲツ, ガツ			つき		Temps		5
18		年		ネン			とし		Temps	nom	5
19		時		ジ		hour	とき	time, when 	Temps	nom	5
20		間		カン			あいだ, ま		Temps, Spatial	adv	5
21		分		ブン, フン, ブ		minute	わ(かる)	comprendre	Temps	nom	5
22		午		ゴ			ご		Temps		5
23		前		ゼン			まえ		Temps, Spatial	nom	5
24		後		ゴ, コウ			あと, うし		Temps	nom	5
25		今		コン			いま		Temps	nom	5
26		先		セン			さき		Temps	nom	5
27		来		ライ			く(る)		Temps		5
28		毎		マイ			ごと		Temps	nom	5
29		人		ジン, ニン			ひと		Personnes	nom	5
30		男		ダン, ナン			おとこ		Personnes	nom	5
31		女		ジョ			おんな		Personnes	nom	5
32		子		シ			こ		Personnes		5
33		母		ボ			はは		Personnes	nom	5
34		父		フ			ちち		Personnes	nom	5
35		友		ユウ			とも		Personnes, Lieu		5
36		本		ホン			もと		Personnes, Lieu	nom	5
37		気		キ					Personnes, Lieu		5
38		生		セイ, ショウ			い(きる), う(まれる)		Personnes, Lieu		5
39		車		シャ			くるま		Personnes, Lieu	nom	5
40		語		ゴ			かた(る)		Personnes, Lieu		5
41		耳		ジ			みみ		Anatomie	nom	5
42		手		シュ			て		Anatomie	nom	5
43		足		ソク			あし、た(す)		Anatomie	nom	5
44		目		モク			め		Anatomie	nom	5
45		口		コウ			くち		Anatomie	nom	5
46		店		テン			みせ		Lieu	nom	5
47		駅		エキ					Lieu	nom	5
48		道		ドウ			みち		Lieu	nom	5
49		国		コク			くに		Lieu	nom	5
50		学		ガク			まな(ぶ)		Personnes, Lieu		5
51		校		コウ					Personnes, Lieu		5
52		名		メイ, ミョウ			な		Personnes, Lieu		5
53		円		エン		yen	まる(い)	cercle (rond)	Personnes, Lieu	nom	5
54		半		ハン			なか(ば)		Personnes, Lieu	nom	5
55		全		ゼン			まった(く), すべて		Personnes, Lieu		5
56		何		カ			なん, なに		Personnes, Lieu	question	5
57		火		カ			ひ		Nature	nom	5
58		水		スイ			みず		Nature	nom	5
59		木		モク			き		Nature	nom	5
60		金		キン			かね		Nature		5
61		土		ド			つち		Nature	nom	5
62		海		カイ			うみ		Nature	nom	5
63		川		セン			かわ		Nature	nom	5
64		山		サン			やま		Nature	nom	5
65		花		カ			はな		Nature	nom	5
66		天		テン			あめ, あま		Nature		5
67		空		クウ			そら, あける		Nature	nom	5
68		晴		セイ			は(れ)		Nature		5
69		雨		ウ			あめ		Nature	nom	5
70		雪		セツ			ゆき		Nature	nom	5
71		雲		ウン			くも(い)	cloud (cloudy)	Nature	nom	5
72		風		フウ			かぜ		Nature	nom	5
73		電		デン					Nature		5
74		外		ガイ			そと,はず(れる)		Spatial	nom	5
75		内		ナイ			うち		Nature		5
76		上		ジョウ			うえ, あ(げる)		Spatial	nom	5
77		下		カ, ゲ			した、く(だる)			nom	5
78		右		ユウ			みぎ		Nature	nom	5
79		左		サ			ひだり		Nature	nom	5
80		中		チュウ, ジュウ			なか		Spatial	nom	5
81		北		ホク			きた		Spatial	nom	5
82		西		セイ, サイ			にし		Spatial	nom	5
83		東		トウ			ひがし		Spatial	nom	5
84		南		ナン			みなみ		Spatial	nom	5
85		見		ケン			み(る)			verb	5
86		聞		モン, ブン			き(く)			verb	5
87		書		ショ			か(く)			verb	5
88		言		ゲン			い(う)	(to say)		verb	5
89		話		ワ			はなし, はな(す)	story (to speak, to talk)		verb	5
90		読		ドク			よ(む)			verb	5
91		行		コウ			い(く), おこな(う)			verb	5
92		買		バイ			か(う)			verb	5
93		出		シュツ			で(る), だ(す)			verb	5
94		入		ニュウ			はい(る), い(れる)			verb	5
95		食		ショク			た(べる)			verb	5
96		飲		イン			の(む)			verb	5
97		休		キュウ			やす(む), やす(み)			verb	5
98		会		カイ			あ(う)			verb	5
99		多		タ			おお(い)			adj	5
100		少		ショ	少年 		すこ(し), すく(ない)	un peu, peu		adv, adj	5
101		古		コ			ふる(い)			adj	5
102		新		シン			あたら(しい)			adj	5
103		大		ダイ, タイ			おお(きい)	grand		adj	5
104		小		ショウ			ちい(さい)、こ			adj	5
105		長		チョウ			なが(い)	long		adj	5
106		短		タン			みじか(い)			adj	5
107		遠		エン			とお(い)			adj	5
108		近		キン, コン			ちか(い)			adj	5
109		白		ハク			しろ, しろ(い)			adj	5
110		黒		コク			くろ、くろ(い)			adj	5
111		高		コウ			たか(い)			adj	5
112		安		アン	安心 tranquilité d’esprit. 安全 sécurité	tranquilité	やす(い)	cheap		adj	5
113		秋					あき			nom	5
114		朝					あさ			nom	5
116		明後日					あさって	Après-demain		nom	5
117		明日					あした	demain		nom	5
118		頭					あたま	tête		nom	5
119		兄					あに			nom	5
120		姉					あね			nom	5
122		飴					あめ			nom	5
124		家		イエ 			うち	maison		nom	5
125		居酒屋					いざかや	bar de rue		nom	5
126		医者					いしゃ	médecin		nom	5
127		椅子					いす	chaise		nom	5
128		一日					いちにち			nom	5
129		一番					いちばん			nom	5
130		一緒					いっしょ			nom	5
131		犬					いぬ			nom	5
132		意味					いみ			nom	5
133		妹					いもうと		Personnes	nom	5
134		入口					いりぐち			nom	5
135		色					いろ			nom	5
136		色々					いろいろ			nom	5
138		受付					うけつけ			nom	5
139		後ろ					うしろ			nom	5
140		歌					うた			nom	5
141		上着					うわぎ			nom	5
142		絵					え			nom	5
143		映画					えいが			nom	5
144		映画館					えいがかん			nom	5
145		英語					えいご			nom	5
147		鉛筆					えんぴつ			nom	5
148		大勢					おおぜい			nom	5
149		お母さん					おかあさん			nom	5
150		お菓子					おかし			nom	5
151		お金					おかね			nom	5
152		お酒					おさけ			nom	5
154		伯父					おじさん			nom	5
155		お茶					おちゃ			nom	5
156		夫					おっと			nom	5
157		お手洗い					おてあらい			nom	5
158		お寺					おてら			nom	5
159		お父さん					おとうさん			nom	5
160		弟					おとうと			nom	5
161		男の子					おとこのこ			nom	5
162		一昨日					おととい			nom	5
163		一昨年					おととし			nom	5
164		大人					おとな			nom	5
165		お腹					おなか			nom	5
166		同じ					おなじ			nom	5
167		お兄さん					おにいさん			nom	5
168		お姉さん					おねえさん			nom	5
170		伯母					おばさん			nom	5
171		音楽					おんがく			nom	5
172		女の子					おんなのこ		Personnes	nom	5
173		外国					がいこく			nom	5
174		外国人					がいこくじん			nom	5
175		会社					かいしゃ			nom	5
176		階段					かいだん			nom	5
177		買い物					かいもの			nom	5
178		顔					かお			nom	5
179		鍵					かぎ			nom	5
180		学生					がくせい			nom	5
181		傘					かさ			nom	5
182		風邪					かぜ			nom	5
183		家族					かぞく			nom	5
184		片仮名					カタカナ			nom	5
185		学校					がっこう			nom	5
186		家庭					かてい			nom	5
187		角					かど			nom	5
188		彼女					かのじょ			pronom	5
190		花瓶					かびん			nom	5
191		紙					かみ			nom	5
193		体					からだ			nom	5
195		彼氏					かれし			nom	5
197		側					がわ			nom	5
198		漢字					かんじ			nom	5
200		喫茶店					きっさてん			nom	5
202		切手					きって			nom	5
203		切符					きっぷ			nom	5
204		昨日					きのう			nom	5
205		牛肉					ぎゅうにく			nom	5
206		牛乳					ぎゅうにゅう			nom	5
207		今日					きょう			nom	5
208		教室					きょうしつ			nom	5
209		兄弟					きょうだい			nom	5
210		去年					きょねん			nom	5
211		綺麗					きれい			nom	5
213		銀行					ぎんこう			nom	5
214		空港					くうこう			nom	5
215		薬					くすり			nom	5
216		果物					くだもの			nom	5
217		靴					くつ			nom	5
218		靴下					くつした			nom	5
219		靴屋					くつや			nom	5
222		警官					けいかん			nom	5
223		今朝					けさ			nom	5
224		消しゴム					けしごむ			nom	5
225		結婚					けっこん			nom	5
226		玄関					げんかん			nom	5
227		公園					こうえん			nom	5
228		交差点					こうさてん			nom	5
229		紅茶					こうちゃ			nom	5
230		交番					こうばん			nom	5
231		声					こえ			nom	5
234		午後					ごご			nom	5
235		午前					ごぜん			nom	5
237		今年					ことし			nom	5
