rank	kanji	decomp
1	丶	
2	一	
3	丨	
4	亅	
5	丿	
6	乙	
7	丁	一,亅
8	七	儿,一
9	九	丿,乙
10	几	丿,乙
11	了	亅
12	二	一
13	人	
14	入	
15	八	
16	儿	
17	刀	丿
18	力	丿
19	十	一,丨
20	又	乂
21	乃	刀
22	乂	丿
23	卜	丨,丶
24	冂	丨
25	亠	一,丶
26	勹	冂
27	匸	匚
28	亻	丨
29	厶	丶
30	卩	丨
31	冖	一
32	冫	丶
33	凵	丨
34	刂	亅,丨
35	厂	丿,一
36	匕	儿
37	匚	一,凵
38	万	一,丿
39	丈	十,乂
40	三	一,二
41	上	卜,一
42	下	一,卜
43	丸	九,丶
44	久	勹,人
45	亡	匸,丶
46	凡	几,丶
47	刃	刀,丶
48	千	十
49	口	丨,一
50	土	十,一
51	夕	久,丶
52	大	人,一
53	女	丿,一
54	子	了,一
55	寸	十,亅,丶
56	小	亅,八
57	山	丨,凵
58	川	丿,丨
59	工	一,丨
60	己	彐,儿
61	干	一,十
62	弓	己
63	才	十
64	之	亠,了
65	巾	冂,丨
66	乞	一,乙
67	士	十,一
68	巳	尸,儿
69	彑	凵,一
70	也	儿,丨
71	弋	一,丶
72	夂	又
73	兀	一,儿
74	廾	一,丿,丨
75	尸	彐,丿
76	囗	冂,一
77	宀	冖,丶
78	勺	勹,丶
79	于	干,亅
80	巛	川
81	幺	厶
82	广	厂,丶
83	阝	了,丨
84	廴	
85	彐	二
86	彡	三
87	彳	丨
88	忄	丨,丶
89	扌	亅,二
90	尢	一,儿
91	氵	冫
92	屮	丨,凵
93	不	一,丿,卜
94	与	弓,一
95	中	口,丨
96	丹	丿,冂,丶,一
97	予	了,丶,冖,亅
98	互	一,彑
99	五	一,力
100	井	丿,丨,二
101	仁	亻,二
102	今	人,一
103	介	人,丿,丨
104	仏	亻,厶
105	元	二,儿
106	公	八,厶
107	六	亠,八
108	内	人,冂
109	円	冂,丨,一
110	冗	冖,几
111	凶	凵,乂
112	分	八,刀
113	切	七,刀
114	刈	乂,刂
115	化	亻,匕
116	匹	匚,儿
117	区	匚,乂
118	升	廾
119	午	干
120	厄	厂,卩
121	及	乃,八
122	友	十,又
123	双	又
124	反	丿,又
125	収	丨,又
126	天	一,大
127	太	大,丶
128	夫	人,二
129	孔	子,儿
130	少	小,丿
131	尺	尸,八
132	屯	十,屮,儿
133	幻	幺
134	引	弓,丨
135	心	丶
136	戸	一,尸
137	手	扌
138	支	十,又
139	文	亠,乂
140	斗	十,丶
141	斤	丿,一,丨
142	方	亠,丿
143	日	口,一
144	月	丿,冂,二
145	木	十,八
146	欠	勹,人
147	止	卜,丨,一
148	比	匕
149	毛	二,儿
150	氏	弋
151	水	亅,丶
152	火	丶,人
153	父	八,乂
154	片	丿,亠
155	牛	二,丨
156	犬	大,丶
157	王	一,土
158	巴	尸,丶,儿
159	允	厶,儿
160	爪	丿,八,丨
161	牙	一,才
162	匂	勹,匕
163	勾	勹,厶
164	乏	之
165	壬	士
166	廿	廾,一
167	戈	弋
168	云	二,厶
169	歹	一,夕
170	灬	丶
171	尹	彐,一,丨
172	攵	乂
173	辶	丶,廴
174	殳	几,又
175	气	一,乙
176	礻	主,戈,卜
177	丑	刀,二
178	勿	勹,丿
179	毋	女,十
180	爿	丨,凵,一,丿
181	夬	大
182	出	山
183	世	凵,廿
184	付	亻,寸
185	仕	亻,士
186	代	亻,弋
187	仙	亻,山
188	他	亻,也
189	以	丨,丶,人
190	令	人,丶,了
191	兄	口,儿
192	只	口,八
193	史	中,乂
194	号	口,弓
195	叶	口,十
196	叱	口,匕
197	加	力,口
198	占	卜,口
199	可	丁,口
200	句	勹,口
201	司	一,口
202	召	刀,口
203	台	厶,口
204	古	十,口
205	右	十,口
206	石	一,丿,口
207	四	囗,儿
208	囚	囗,人
209	凸	丨,一
210	凹	凵
211	冬	夂,丶
212	処	夂,几
213	皮	丿,丨,又
214	奴	女,又
215	功	工,力
216	巧	工,弓
217	包	勹,巳
218	去	土,厶
219	圧	厂,土
220	庁	广,丁
221	広	广,厶
222	刊	干,刂
223	北	匕
224	半	二,丨,丶
225	外	夕,卜
226	央	大,冂
227	失	夫
228	矢	一,大
229	尻	尸,九
230	尼	尸,匕
231	左	十,工
232	布	十,巾
233	平	干,丶
234	幼	幺,力
235	弁	厶,廾
236	必	心,丿
237	打	扌,丁
238	払	扌,厶
239	斥	斤,丶
240	丘	斤,一
241	未	木,一
242	末	木,一
243	本	木,一
244	札	木,儿
245	正	一,止
246	母	凵,丶,一
247	民	巳,氏
248	氷	水,丶
249	永	丶,水
250	汁	氵,十
251	犯	亅,卩
252	生	十,二
253	主	王,丶
254	玉	王,丶
255	巨	匚,彐
256	用	冂,二,丨
257	冊	冂,丨,一
258	田	冂,土
259	由	田
260	甲	日,丨
261	申	日,丨
262	白	日
263	旧	丨,日
264	旦	日,一
265	甘	廾,二
266	皿	冂,丨,一
267	目	日
268	且	目
269	矛	了,丶,冖,亅
270	示	二,小
271	礼	礻,儿
272	写	冖,与
273	立	亠,丶,一
274	市	亠,巾
275	穴	宀,八
276	玄	亠,幺
277	辺	辶,刀
278	込	辶,入
279	弘	弓,厶
280	瓦	一,九,丶
281	丼	井,丶
282	丙	一,内
283	叩	口,卩
284	禾	木
285	乍	一,丨,二
286	衤	丶,了,丨
287	疋	冖,止
288	卯	丿,卩
289	氺	亅,冫
290	罒	口,丨
291	疒	广,冫
292	癶	夕,八
293	旡	一,尢
294	辻	辶,十
295	両	一,山,冂
296	争	勹,彐,一,亅
297	交	亠,父
298	仮	亻,反
299	仰	亻,卯
300	仲	亻,中
301	件	亻,牛
302	任	亻,壬
303	企	人,止
304	伏	亻,犬
305	伐	亻,戈
306	休	亻,木
307	会	人,云
308	伝	亻,云
309	充	亠,允
310	兆	儿,冫
311	先	土,儿
312	光	丨,丶,兀
313	全	人,王
314	共	廾,一,八
315	再	王,冂
316	刑	井,刂
317	列	歹,刂
318	劣	少,力
319	匠	匚,斤
320	印	丨,卩
321	危	勹,厄
322	叫	口,丨
323	各	夂,口
324	合	人,一,口
325	吉	士,口
326	同	冂,一,口
327	名	夕,口
328	后	斤,口
329	吏	十,中,乂
330	吐	口,土
331	向	丶,冂,口
332	回	囗,口
333	因	囗,大
334	団	囗,寸
335	在	十,亻,土
336	地	土,也
337	壮	丨,冫,士
338	多	夕
339	好	女,子
340	如	女,口
341	妃	女,己
342	妄	亡,女
343	存	十,亻,子
344	宅	宀,七
345	宇	宀,于
346	守	宀,寸
347	安	宀,女
348	寺	土,寸
349	尽	尺,丶
350	州	川,丶
351	巡	辶,巛
352	帆	巾,凡
353	年	一,干
354	式	弋,工
355	弐	一,弋,二
356	当	丨,丶,彐
357	忙	忄,亡
358	成	万,戈
359	旨	匕,日
360	早	日,十
361	旬	勹,日
362	曲	丨,日
363	有	十,月
364	朱	未
365	朴	木,卜
366	机	木,几
367	朽	木,弓
368	次	冫,欠
369	死	歹,匕
370	毎	一,毋
371	気	气,乂
372	汗	氵,干
373	汚	氵,二,弓
374	江	氵,工
375	池	氵,也
376	灯	火,丁
377	灰	十,火
378	百	一,白
379	竹	丨,丁
380	米	木,丶
381	糸	幺,小
382	缶	午,山
383	羊	丶,三,丨
384	羽	卩,冫
385	老	耂,匕
386	考	耂,弓
387	耳	二,丨
388	肉	人,冂
389	肌	月,几
390	自	目,丶
391	至	一,厶,土
392	舌	千,口
393	舟	丹,丶
394	色	勹,巴
395	芋	廾,于
396	芝	廾,之
397	虫	中,一,丶
398	血	皿,丶
399	行	彳,二,丁
400	衣	亠
401	西	兀,囗
402	迅	辶,乙,十
403	字	宀,子
404	伊	亻,尹
405	旭	九,日
406	庄	广,土
407	亘	一,旦
408	圭	土
409	汐	氵,夕
410	伎	亻,支
411	臼	彐
412	汎	氵,凡
413	亦	亠,丨,亅,八
414	瓜	爪
415	虍	卜,厂,七
416	艮	彐,衣
417	吊	口,巾
418	聿	尹,二,丨
419	而	一,丿,冂,丨
420	耒	未
421	此	止,匕
422	舛	夕,干
423	迄	辶,乞
424	耂	土
425	尖	小,大
426	乱	舌,儿
427	亜	二,口,丨
428	伯	亻,白
429	伴	亻,半
430	伸	亻,申
431	伺	亻,司
432	似	亻,以
433	但	亻,旦
434	位	亻,立
435	低	亻,氏,丶
436	住	亻,主
437	佐	亻,左
438	体	亻,本
439	何	亻,可
440	余	人,示
441	作	亻,乍
442	克	古,儿
443	児	旧,儿
444	兵	丘,八
445	冷	冫,令
446	初	衤,刀
447	判	半,刂
448	別	口,力,刂
449	利	禾,刂
450	助	且,力
451	努	奴,力
452	励	厂,万,力
453	労	丶,冖,力
454	医	匚,矢
455	即	艮,丶,卩
456	却	去,卩
457	卵	卯,丶
458	君	尹,口
459	吟	口,今
460	否	不,口
461	含	今,口
462	吸	口,及
463	吹	口,欠
464	呈	口,王
465	呉	口,弓,一,八
466	告	土,口
467	困	囗,木
468	囲	囗,井
469	図	囗,丶,乂
470	坂	土,反
471	均	土,勹,亠
472	坊	土,方
473	坑	土,亠,几
474	声	士,尸
475	壱	士,冖,匕
476	売	士,冖,儿
477	妊	女,壬
478	妙	女,少
479	妥	爪,女
480	妨	女,方
481	孝	耂,子
482	完	宀,元
483	対	文,寸
484	寿	三,丿,寸
485	尾	尸,毛
486	尿	尸,水
487	局	尸,口
488	岐	山,支
489	岩	山,石
490	希	乂,布
491	床	广,木
492	序	广,予
493	廷	廴,壬
494	弟	丶,弓,丨
495	形	一,廾,彡
496	役	彳,殳
497	忌	己,心
498	忍	刃,心
499	志	士,心
500	忘	亡,心
501	応	广,心
502	快	忄,夬
503	我	手,戈
504	戒	戈,廾
505	戻	戸,大
506	扱	扌,及
507	扶	扌,夫
508	批	扌,比
509	技	扌,支
510	抄	扌,少
511	把	扌,巴
512	抑	扌,卯
513	投	扌,殳
514	抗	扌,亠,几
515	折	扌,斤
516	抜	扌,友
517	択	扌,尺
518	改	己,攵
519	攻	工,攵
520	更	一,申,乂
521	杉	木,彡
522	材	木,才
523	村	木,寸
524	束	木,口
525	条	夂,木
526	来	未,丶
527	求	十,丶,氺
528	決	氵,夬
529	汽	氵,气
530	沈	氵,冖,尢
531	沖	氵,中
532	没	氵,殳
533	沢	氵,尺
534	災	巛,火
535	状	丨,冫,犬
536	狂	亅,王
537	男	田,力
538	町	田,丁
539	社	礻,土
540	秀	禾,乃
541	私	禾,厶
542	究	穴,九
543	系	糸
544	肖	丨,丶,月
545	肝	月,干
546	臣	匚,丨,彐
547	良	艮,丶
548	花	廾,化
549	芳	廾,方
550	芸	廾,云
551	見	目,儿
552	角	勹,用
553	言	亠,二,口
554	谷	八,人,口
555	豆	立,口
556	貝	目,八
557	赤	土,丨,亅,八
558	走	土,止
559	足	口,止
560	身	丶,月
561	車	二,丨,日
562	辛	立,十
563	迎	辶,卯
564	近	辶,斤
565	返	辶,反
566	邦	三,丿,阝
567	里	日,丨,二
568	防	阝,方
569	麦	十,二,夂
570	串	中
571	李	木,子
572	那	刀,二,阝
573	沙	氵,少
574	呂	口,丶
575	杏	木,口
576	冶	冫,台
577	汰	氵,太
578	肘	月,寸
579	阪	阝,反
580	弄	王,廾
581	妖	女,大
582	呆	口,木
583	辰	厂,二,艮
584	豕	一,勿
585	甫	十,用,丶
586	豸	丶,勿
587	坐	人,丨
588	吾	五,口
589	釆	米
590	酉	兀,日
591	並	丶,二,丨
592	乳	爪,子,儿
593	事	十,中,尹,亅
594	享	亠,口,子
595	京	亠,口,小
596	佳	亻,圭
597	併	亻,丶,一,廾
598	使	亻,吏
599	例	亻,列
600	侍	亻,寺
601	供	亻,共
602	依	亻,衣
603	価	亻,西
604	侮	亻,一,母
605	免	勹,中,儿
606	具	目,一,八
607	典	曲,八
608	到	至,刂
609	制	牛,巾,刂
610	刷	尸,巾,刂
611	券	丶,一,大,刀
612	刺	木,冂,刂
613	刻	玄,人,刂
614	効	交,力
615	卒	亠,人,十
616	卓	卜,早
617	協	十,力
618	参	厶,大,彡
619	叔	上,小,又
620	取	耳,又
621	受	爪,冖,又
622	周	冂,土,口
623	味	口,未
624	呼	口,丶,一,亅
625	命	人,一,叩
626	和	禾,口
627	固	囗,古
628	国	囗,玉
629	坪	土,平
630	垂	千,廾,土
631	夜	亠,亻,夂,丶
632	奇	大,可
633	奉	二,大,丨
634	奔	大,十,廾
635	妹	女,未
636	妻	十,尹,女
637	姉	女,十,巾
638	始	女,台
639	姓	女,生
