No	Kanji	Radical	Strokes	Grade	English	Readings
41	一	一	1	1	one	イチ、イツ、ひと、ひと-つ
829	七	一	2	1	seven	シチ、なな、なな-つ、（なの）
744	三	一	3	1	three	サン、み、み-つ、みっ-つ
1009	上	一	3	1	up	ジョウ、（ショウ）、うえ、（うわ）、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す
131	下	一	3	1	below	カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
1376	中	丨	4	1	middle	チュウ、（ジュウ）、なか
359	九	乙	2	1	nine	キュウ、ク、ここの、ここの-つ
1577	二	二	2	1	two	ニ、ふた、ふた-つ
576	五	二	4	1	five	ゴ、いつ、いつ-つ
1070	人	人	2	1	person	ジン、ニン、ひと
365	休	人	6	1	rest	キュウ、やす-む、やす-まる、やす-める
1170	先	儿	6	1	previous	セン、さき
1584	入	入	2	1	enter	ニュウ、い-る、い-れる、はい-る
1647	八	八	2	1	eight	ハチ、や、や-つ、やっ-つ、（よう）
2125	六	八	4	1	six	ロク、む、む-つ、むっ-つ、（むい）
87	円	囗	4	1	round, yen	エン、まる-い
926	出	凵	5	1	exit	シュツ、（スイ）、で-る、だ-す
2074	力	力	2	1	power	リョク、リキ、ちから
907	十	十	2	1	ten	ジュウ、ジッ、とお、と
1166	千	十	3	1	thousand	セン、ち
587	口	口	3	1	mouth	コウ、ク、くち
58	右	口	5	1	right (direction)	ウ、ユウ、みぎ
1926	名	口	6	1	name	メイ、ミョウ、な
767	四	囗	5	1	four	シ、よ、よ-つ、よっ-つ、よん
1493	土	土	3	1	soil	ド、ト、つち
1138	夕	夕	3	1	evening	セキ、ゆう
1312	大	大	3	1	large	ダイ、タイ、おお、おお-きい、おお-いに
1472	天	大	4	1	heaven	テン、あめ、（あま）
952	女	女	3	1	woman	ジョ、ニョ、（ニョウ）、おんな、め
760	子	子	3	1	child	シ、ス、こ
807	字	子	6	1	letter	ジ、あざ
226	学	子	8	1	study	ガク、まな-ぶ
959	小	小	3	1	small	ショウ、ちい-さい、こ、お
745	山	山	3	1	mountain	サン、やま
1167	川	巛	3	1	river	セン、かわ
682	左	工	5	1	left (direction)	サ、ひだり
1593	年	干	6	1	year	ネン、とし
863	手	手	4	1	hand	シュ、て、（た）
1786	文	文	4	1	writing	ブン、モン、ふみ
1583	日	日	4	1	day	ニチ、ジツ、ひ、か
1219	早	日	6	1	early	ソウ、（サッ）、はや-い、はや-まる、はや-める
513	月	月	4	1	month, moon	ゲツ、ガツ、つき
1876	木	木	4	1	tree	ボク、モク、き、（こ）
1886	本	木	5	1	book	ホン、もと
1279	村	木	7	1	village	ソン、むら
2076	林	木	8	1	woods	リン、はやし
623	校	木	10	1	school	コウ
1061	森	木	12	1	forest	シン、もり
1106	正	止	5	1	correct	セイ、ショウ、ただ-しい、ただ-す、まさ
305	気	气	6	1	feeling	キ、ケ
1081	水	水	4	1	water	スイ、みず
133	火	火	4	1	fire	カ、ひ、（ほ）
514	犬	犬	4	1	dog	ケン、いぬ
427	玉	玉	5	1	ball	ギョク、たま
105	王	玉	4	1	king	オウ
1107	生	生	5	1	life	セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま
1480	田	田	5	1	rice paddy	デン、た
1348	男	田	7	1	male	ダン、ナン、おとこ
1396	町	田	7	1	town	チョウ、まち
1630	白	白	5	1	white	ハク、ビャク、しろ、（しら）、しろ-い
1716	百	白	6	1	hundred	ヒャク
1947	目	目	5	1	eye	モク、（ボク）、め、（ま）
1140	石	石	5	1	stone	セキ、（シャク）、（コク）、いし
452	空	穴	8	1	sky	クウ、そら、あ-く、あ-ける、から
2045	立	立	5	1	stand up	リツ、（リュウ）、た-つ、た-てる
1366	竹	竹	6	1	bamboo	チク、たけ
772	糸	糸	6	1	thread	シ、いと
810	耳	耳	6	1	ear	ジ、みみ
138	花	艸	7	1	flower	カ、はな
1225	草	艸	9	1	grass	ソウ、くさ
1378	虫	虫	6	1	insect	チュウ、むし
516	見	見	7	1	see	ケン、み-る、み-える、み-せる
196	貝	貝	7	1	shellfish	かい
1141	赤	赤	7	1	red	セキ、（シャク）、あか、あか-い、あか-らむ、あか-らめる
1263	足	足	7	1	foot	ソク、あし、た-りる、た-る、た-す
843	車	車	7	1	car	シャ、くるま
432	金	金	8	1	gold	キン、コン、かね、（かな）
61	雨	雨	8	1	rain	ウ、あめ、（あま）
1115	青	靑	8	1	blue	セイ、（ショウ）、あお、あお-い
127	音	音	9	1	sound	オン、イン、おと、ね
1906	万	艸	3	2	ten thousand	マン、バン
292	丸	丶	3	2	circle	ガン、まる、まる-い、まる-める
596	交	亠	6	2	mix	コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
398	京	亠	8	2	capital	キョウ、ケイ
670	今	人	4	2	now	コン、キン、いま
175	会	曰	6	2	association	カイ、エ、あ-う
1295	体	骨	7	2	body	タイ、テイ、からだ
137	何	人	7	2	what	カ、なに、（なん）
723	作	人	7	2	make	サク、サ、つく-る
545	元	儿	4	2	origin	ゲン、ガン、もと
469	兄	儿	5	2	older brother	ケイ、（キョウ）、あに
597	光	儿	6	2	ray	コウ、ひか-る、ひかり
589	公	八	4	2	public	コウ、おおやけ
1570	内	入	4	2	inside	ナイ、（ダイ）、うち
1499	冬	冫	5	2	winter	トウ、ふゆ
1498	刀	刀	2	2	sword	トウ、かたな
1785	分	刀	4	2	part, minute of time	ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ
1154	切	刀	4	2	cut	セツ、（サイ）、き-る、き-れる
1197	前	刀	9	2	in front	ゼン、まえ
1875	北	匕	5	2	north	ホク、きた
578	午	十	4	2	noon	ゴ
1656	半	十	5	2	half	ハン、なか-ば
1574	南	十	9	2	south	ナン、（ナ）、みなみ
551	原	厂	10	2	field	ゲン、はら
1971	友	又	4	2	friend	ユウ、とも
559	古	口	5	2	old	コ、ふる-い、ふる-す
1314	台	至	5	2	pedestal	ダイ、タイ
652	合	口	6	2	fit	ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる
1536	同	口	6	2	same	ドウ、おな-じ
173	回	囗	6	2	times	カイ、（エ）、まわ-る、まわ-す
1080	図	囗	7	2	diagram	ズ、ト、はか-る
661	国	囗	8	2	country	コク、くに
95	園	囗	13	2	garden	エン、その
1355	地	土	6	2	ground	チ、ジ
1020	場	土	12	2	place	ジョウ、ば
1110	声	耳	7	2	voice	セイ、（ショウ）、こえ、（こわ）
1622	売	貝	7	2	sell	バイ、う-る、う-れる
146	夏	夊	10	2	summer	カ、（ゲ）、なつ
197	外	夕	5	2	outside	ガイ、ゲ、そと、ほか、はず-す、はず-れる
1285	多	夕	6	2	many	タ、おお-い
1953	夜	夕	8	2	night	ヤ、よ、よる
1293	太	大	4	2	thick	タイ、タ、ふと-い、ふと-る
1896	妹	女	8	2	younger sister	マイ、いもうと
780	姉	女	8	2	older sister	シ、あね
832	室	宀	9	2	room	シツ、むろ
147	家	宀	10	2	house	カ、ケ、いえ、や
808	寺	寸	6	2	Buddhist temple	ジ、てら
961	少	小	4	2	few	ショウ、すく-ない、すこ-し
295	岩	山	8	2	boulder	ガン、いわ
588	工	工	3	2	craft	コウ、ク
768	市	巾	5	2	market	シ、いち
320	帰	止	10	2	return	キ、かえ-る、かえ-す
594	広	广	5	2	wide	コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
1474	店	广	8	2	shop	テン、みせ
362	弓	弓	3	2	bow (archery, violin)	キュウ、ゆみ
46	引	弓	4	2	pull	イン、ひ-く、ひ-ける
1440	弟	弓	7	2	younger brother	テイ、（ダイ）、（デ）、おとうと
861	弱	弓	10	2	weak	ジャク、よわ-い、よわ-る、よわ-まる、よわ-める
410	強	弓	11	2	strong	キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる
1501	当	田	6	2	hit	トウ、あ-たる、あ-てる
471	形	彡	7	2	shape	ケイ、ギョウ、かた、かたち
580	後	彳	9	2	behind	ゴ、コウ、のち、うし-ろ、あと、おく-れる
1041	心	心	4	2	heart	シン、こころ
785	思	心	9	2	think	シ、おも-う
558	戸	戶	4	2	door	コ、と
693	才	手	3	2	genius	サイ
411	教	攴	11	2	teach	キョウ、おし-える、おそ-わる
1097	数	攴	13	2	number	スウ、（ス）、かず、かぞ-える
1065	新	斤	13	2	new	シン、あたら-しい、あら-た、にい
1829	方	方	4	2	direction	ホウ、かた
1928	明	日	8	2	bright	メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす
1118	星	日	9	2	star	セイ、（ショウ）、ほし
930	春	日	9	2	springtime	シュン、はる
1384	昼	日	9	2	daytime	チュウ、ひる
818	時	日	10	2	time	ジ、とき
1126	晴	日	12	2	clear up	セイ、は-れる、は-らす
2012	曜	日	18	2	day of the week	ヨウ
946	書	曰	10	2	write	ショ、か-く
1406	朝	月	12	2	morning	チョウ、あさ
2022	来	人	7	2	come	ライ、く-る、きた-る、きた-す
1504	東	木	8	2	east	トウ、ひがし
228	楽	木	13	2	pleasure	ガク、ラク、たの-しい、たの-しむ
159	歌	欠	14	2	song	カ、うた、うた-う
762	止	止	4	2	stop	シ、と-まる、と-める
1817	歩	止	8	2	walk	ホ、ブ、（フ）、ある-く、あゆ-む
1823	母	毋	5	2	mother	ボ、はは
1895	毎	毋	6	2	every	マイ
1941	毛	毛	4	2	hair	モウ、け
1356	池	水	6	2	pond	チ、いけ
309	汽	水	7	2	steam	キ
234	活	水	9	2	active	カツ
182	海	水	9	2	sea	カイ、うみ
1475	点	黑	9	2	point	テン
1738	父	父	4	2	father	フ、ちち
381	牛	牛	4	2	cow	ギュウ、うし
2038	理	玉	11	2	reason	リ
1992	用	用	5	2	use	ヨウ、もち-いる
167	画	田	8	2	tableau	ガ、カク
1680	番	田	12	2	one's turn	バン
1418	直	目	8	2	straight	チョク、ジキ、ただ-ちに、なお-す、なお-る
769	矢	矢	5	2	arrow	シ、や
1357	知	矢	8	2	know	チ、し-る
842	社	示	7	2	company	シャ、やしろ
891	秋	禾	9	2	autumn	シュウ、あき
144	科	禾	9	2	section	カ
1524	答	竹	12	2	answer	トウ、こた-える、こた-え
753	算	竹	14	2	calculate	サン
1801	米	米	6	2	rice	ベイ、マイ、こめ
790	紙	糸	10	2	paper	シ、かみ
706	細	糸	11	2	thin	サイ、ほそ-い、ほそ-る、こま-か、こま-かい
1211	組	糸	11	2	association	ソ、く-む、くみ
186	絵	糸	12	2	picture	カイ、エ
1190	線	糸	15	2	line	セン
60	羽	羽	6	2	feather	ウ、は、はね
602	考	老	6	2	think	コウ、かんが-える
1787	聞	耳	14	2	hear	ブン、モン、き-く、き-こえる
1581	肉	肉	6	2	meat	ニク
811	自	自	6	2	oneself	ジ、シ、みずか-ら
1180	船	舟	11	2	boat	セン、ふね、（ふな）
1029	色	色	6	2	color	ショク、シキ、いろ
1373	茶	艸	9	2	tea	チャ、サ
603	行	行	6	2	go	コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う
1109	西	襾	6	2	west	セイ、サイ、にし
1069	親	見	16	2	parent	シン、おや、した-しい、した-しむ
211	角	角	7	2	angle	カク、かど、つの
548	言	言	7	2	say	ゲン、ゴン、い-う、こと
478	計	言	9	2	measure	ケイ、はか-る、はか-らう
316	記	言	10	2	write down	キ、しる-す
2130	話	言	13	2	talk	ワ、はな-す、はなし
584	語	言	14	2	language	ゴ、かた-る、かた-らう
1556	読	言	14	2	read	ドク、トク、（トウ）、よ-む
659	谷	谷	7	2	valley	コク、たに
1628	買	貝	12	2	buy	バイ、か-う
1221	走	走	7	2	run	ソウ、はし-る
431	近	辵	7	2	near	キン、ちか-い
1430	通	辵	10	2	pass through	ツウ、（ツ）、とお-る、とお-す、かよ-う
898	週	辵	11	2	week	シュウ
1542	道	辵	12	2	road	ドウ、（トウ）、みち
98	遠	辵	13	2	far	エン、（オン）、とお-い
2037	里	里	7	2	village	リ、さと
1954	野	里	11	2	field	ヤ、の
1397	長	長	8	2	long	チョウ、なが-い
1949	門	門	8	2	gates	モン、かど
270	間	門	12	2	interval	カン、ケン、あいだ、ま
1160	雪	雨	11	2	snow	セツ、ゆき
67	雲	雨	12	2	cloud	ウン、くも
1483	電	雨	13	2	electricity	デン
1531	頭	頁	16	2	head	トウ、ズ、（ト）、あたま、かしら
299	顔	頁	18	2	face	ガン、かお
1764	風	風	9	2	wind	フウ、（フ）、かぜ、（かざ）
1031	食	食	9	2	eat, meal	ショク、（ジキ）、く-う、く-らう、た-べる
869	首	首	9	2	neck	シュ、くび
1609	馬	馬	10	2	horse	バ、うま、（ま）
628	高	高	10	2	tall, expensive	コウ、たか-い、たか、たか-まる、たか-める
391	魚	魚	11	2	fish	ギョ、うお、さかな
1405	鳥	鳥	11	2	bird	チョウ、とり
1933	鳴	鳥	14	2	chirp	メイ、な-く、な-る、な-らす
1639	麦	麥	7	2	wheat	バク、むぎ
632	黄	黃	11	2	yellow	コウ、オウ、き、（こ）
662	黒	黑	11	2	black	コク、くろ、くろ-い
1392	丁	一	2	3	ward	チョウ、テイ
1105	世	一	5	3	world	セイ、セ、よ
2061	両	入	6	3	both	リョウ
864	主	丶	5	3	master	シュ、（ス）、ぬし、おも
1014	乗	丿	9	3	ride	ジョウ、の-る、の-せる
1987	予	豕	4	3	in advance	ヨ
814	事	亅	8	3	abstract thing	ジ、（ズ）、こと
764	仕	人	5	3	do	シ、（ジ）、つか-える
1284	他	人	5	3	other	タ、ほか
1313	代	人	5	3	substitute	ダイ、タイ、か-わる、か-える、よ、しろ
910	住	人	7	3	dwelling	ジュウ、す-む、す-まう
777	使	人	8	3	use	シ、つか-う
475	係	人	9	3	person in charge	ケイ、かか-る、かかり
1623	倍	人	10	3	double	バイ
1196	全	入	6	3	whole	ゼン、まった-く、すべ-て
