hiragago	type	JLPTN
～など	adv	5
あげる	verb	5
あさごはん	nom	5
あそこ	demonstratif	5
あちら, あっち	demonstratif	5
あの～	demonstratif	5
あまり〜ない	adj	5
ありがとうございます	expr	5
ある	verb	5
あれ	demonstratif	5
いいえ	expr	5
いくつ	question	5
いくら	question	5
いくらでも	adv	5
いつ	question	5
いつか	adv	5
いってきます	expr	5
いつでも	adv	5
いつも	adv	5
いる	verb	5
うるさい	adj	5
ええ	expr	5
おじいさん	nom	5
おねがいします	expr	5
おばあさん	nom	5
おはようございます	expr	5
おやすみなさい	expr	5
かかる	verb	5
かける	verb	5
かばん	nom	5
ください	verb	5
ここ	demonstratif	5
こちら, こっち	demonstratif	5
この〜	demonstratif	5
コピーする	verb	5
ごめんなさい	expr	5
これ	demonstratif	5
こんな	demonstratif	5
こんにちは	expr	5
こんばんは	expr	5
さようなら	expr	5
しかし	conj	5
すぐに	adv	5
すみません	expr	5
する	verb	5
そこ	demonstratif	5
そして	conj	5
そちら, そっち	demonstratif	5
その～	demonstratif	5
それ	demonstratif	5
それから	conj	5
たくさん	adj	5
だけ	adv	5
だんだん	adv	5
ちょっと	adv	5
つける	verb	5
つまらない	adj	5
では	conj	5
でも	conj	5
どう	question	5
どういたしまして	expr	5
どうして	question	5
どうぞ	adv	5
どうも	adv	5
どこ	question	5
どこか	adv	5
どこでも	adv	5
どこも〜ない	adv	5
どちら, どっち	question	5
どちらでも	nom	5
とても	adv	5
どなた	question	5
どの～	question	5
どのくらい	question	5
どれ	question	5
どれでも	adv	5
どんな	question	5
なぜ	question	5
なんで	question	5
にぎやか	adj	5
はい	expr	5
はがき	nom	5
はじめまして	expr	5
ばんごはん	nom	5
ビール	nom	5
ひるごはん	nom	5
まずい	adj	5
また	adv	5
まだ	adv	5
もう	adv	5
もしもし	expr	5
もっと	adv	5
やる	verb	5
ゆっくり	adv	5
よく	adv	5
